1st Sensor,2nd Sensor,Start Time,End Time
11,42,2017-08-10T16:27:00.000Z,2017-08-10T16:34:10.000Z
24,42,2017-08-10T16:27:00.000Z,2017-08-10T16:34:10.000Z
24,42,2017-08-10T16:22:00.000Z,2017-08-10T16:26:00.000Z
18,42,2017-08-10T16:20:30.000Z,2017-08-10T16:21:40.000Z
20,42,2017-08-10T16:20:00.000Z,2017-08-10T16:21:50.000Z
24,44,2017-08-10T16:19:40.000Z,2017-08-10T16:21:40.000Z
18,44,2017-08-10T16:09:00.000Z,2017-08-10T16:20:20.000Z
24,40,2017-08-10T16:08:50.000Z,2017-08-10T16:19:40.000Z
20,44,2017-08-10T16:04:20.000Z,2017-08-10T16:19:50.000Z
24,42,2017-08-10T16:03:00.000Z,2017-08-10T16:05:10.000Z
18,40,2017-08-10T16:02:40.000Z,2017-08-10T16:08:50.000Z
18,43,2017-08-10T16:01:20.000Z,2017-08-10T16:02:30.000Z
24,40,2017-08-10T16:01:00.000Z,2017-08-10T16:02:10.000Z
24,43,2017-08-10T15:58:30.000Z,2017-08-10T16:00:50.000Z
18,44,2017-08-10T15:58:30.000Z,2017-08-10T16:01:10.000Z
20,40,2017-08-10T15:58:30.000Z,2017-08-10T16:04:10.000Z
11,42,2017-08-10T15:56:50.000Z,2017-08-10T16:26:00.000Z
24,43,2017-08-10T15:54:00.000Z,2017-08-10T15:55:20.000Z
11,43,2017-08-10T15:54:00.000Z,2017-08-10T15:55:10.000Z
24,20,2017-08-10T16:01:00.000Z,2017-08-10T16:02:10.000Z
18,20,2017-08-10T16:02:40.000Z,2017-08-10T16:04:00.000Z
24,11,2017-08-10T16:03:00.000Z,2017-08-10T16:05:10.000Z
24,11,2017-08-10T16:22:00.000Z,2017-08-10T16:34:10.000Z
18,11,2017-08-10T16:20:30.000Z,2017-08-10T16:21:40.000Z
20,11,2017-08-10T16:20:00.000Z,2017-08-10T16:21:50.000Z
24,18,2017-08-10T16:19:40.000Z,2017-08-10T16:20:20.000Z
18,20,2017-08-10T16:09:00.000Z,2017-08-10T16:20:00.000Z
